Utført dato;Bokført dato;Rentedato;Beskrivelse;Type;Undertype;Fra konto;Avsender;Til konto;Mottakernavn;Beløp inn;Beløp ut;Valuta;Status;Numref;Arkivref;Melding/KID/Fakt.nr
26.11.2024;26.11.2024;26.11.2024;VIPPS MOBILEPAY AS;Betaling innland;Overføring fra annen konto;1503 94 12664;VIPPS MOBILEPAY AS;2801 31 63326;Arendal Misjonskirke;9,85;;NOK;Bokført;1435711;50797460083;Utb. 2000603 Vippsnr 136298
25.11.2024;25.11.2024;25.11.2024;PAYPAL INC.;Betaling innland;Overføring fra annen konto;9750 06 62860;PAYPAL INC.;2801 31 63326;Arendal Misjonskirke;1 215,79;;NOK;Bokført;34112524263;50975024263;Fra: PAYPAL INC. Betalt: 25.11.24
25.11.2024;25.11.2024;25.11.2024;Julius Caesar;Betaling innland;Utgående betaling;2801 31 63326;Filter;9480 12 91427;Julius Caesar;;-789,24;NOK;Bokført;30660030000;50281159451;"Til: Julius Caesar
Brus til FILTER"
25.11.2024;25.11.2024;25.11.2024;Ola Normann;Betaling innland;Utgående betaling;2801 31 63326;Filter;1225 47 62944;Ola Normann;;-149,45;NOK;Bokført;30660050000;50281159451;"Til: Ola Normann
Lyspære til popcornmaskin"
25.11.2024;25.11.2024;25.11.2024;Bulder Lekeland AS;Betaling innland;Innkommende betaling;2801 42 77945;Bulder Lekeland AS;2801 31 63326;Arendal Misjonskirke;2 750,00;;NOK;Bokført;41260380001;50281159451;Betalt to ganger Rune
25.11.2024;25.11.2024;25.11.2024;Ola Normann;Betaling innland;Utgående betaling;2801 31 63326;Filter;1225 47 62944;Ola Normann;;-477,80;NOK;Bokført;30660040000;50281159451;"Til: Ola Normann
Brus til Filterkiosken"
25.11.2024;25.11.2024;25.11.2024;VIPPS MOBILEPAY AS;Betaling innland;Overføring fra annen konto;1503 94 12664;VIPPS MOBILEPAY AS;2801 31 63326;Arendal Misjonskirke;379,21;;NOK;Bokført;1259204;50797460307;Utb. 2000602 Vippsnr 136298
22.11.2024;22.11.2024;22.11.2024;Bulder Lekeland AS;Betaling innland;Utgående betaling;2801 31 63326;Filter;2801 42 77945;Bulder Lekeland AS;;-2 750,00;NOK;Bokført;21990640000;50281129451;Til: Bulder Lekeland AS
20.11.2024;20.11.2024;20.11.2024;Bulder Lekeland AS;Betaling innland;Utgående betaling;2801 31 63326;Filter;2801 42 77945;Bulder Lekeland AS;;-2 750,00;NOK;Bokført;76068970000;50281109451;Til: Bulder Lekeland AS
20.11.2024;20.11.2024;20.11.2024;VISMA AMILI AS;Betaling innland;Utgående betaling;2801 31 63326;Filter;1503 34 40445;VISMA AMILI AS;;-198,50;NOK;Bokført;76068980000;50281109451;Til: VISMA AMILI AS
18.11.2024;18.11.2024;18.11.2024;VIPPS MOBILEPAY AS;Betaling innland;Overføring fra annen konto;1503 94 12664;VIPPS MOBILEPAY AS;2801 31 63326;Arendal Misjonskirke;541,74;;NOK;Bokført;1397264;50797460079;Utb. 2000600 Vippsnr 136298
18.11.2024;18.11.2024;18.11.2024;VIPPS MOBILEPAY AS;Betaling innland;Overføring fra annen konto;1503 94 12664;VIPPS MOBILEPAY AS;2801 31 63326;Arendal Misjonskirke;1 699,11;;NOK;Bokført;1397264;50797460079;Utb. 2000601 Vippsnr 136298
18.11.2024;18.11.2024;18.11.2024;Til konto: 2601 38 33868;Betaling innland;Utgående betaling;2801 31 63326;Filter;2601 38 33868;;;-870,00;NOK;Bokført;46824470000;50281189451;"Til: 2601.38.33868
Tilbakebetaling overnatting"
15.11.2024;15.11.2024;15.11.2024;Test Testson;Betaling innland;Innkommende betaling;2601 38 33868;Test Testson;2801 31 63326;Arendal Misjonskirke;870,00;;NOK;Bokført;850355;50260149343;Overnatting for Knoll og Tott
